,sampno,longitude,latitude,altitude,speed,smooth,acceleration1000,acceleration,angle,moyenT,difTempsSec,StoopMoove,StopMoove1,Id
484144,5750016,2.083713,49.008051,373.600006103516,4.90000009536743,4.0,0.07784000530242911,0.07784000530242911,186.00974417000828,1,5.0,1,1,5620
484145,5750016,2.083616,49.007993,383.899993896484,4.90000009536743,4.433333396911619,0.0,0.0,186.00844541872138,1,5.0,1,1,5620
484146,5750016,2.083527,49.007925,391.100006103516,3.70000004768372,4.5000000794728585,0.06672000265121429,-0.06672000265121429,186.0073581868556,1,5.0,1,1,5620
484147,5750016,2.083432,49.00784,401.200012207031,5.0,4.53333338101705,0.07227999734878518,0.07227999734878518,186.00693168516682,1,5.0,1,1,5620
484148,5750016,2.083332,49.007776,408.100006103516,4.5,4.400000015894573,0.0278,-0.0278,186.00605076932163,1,5.0,1,1,5620
484149,5750016,2.083267,49.007702,415.899993896484,7.0,5.5,0.139,0.139,186.0050423353853,1,5.0,1,1,5620
484150,5750016,2.083377,49.00750900000001,404.799987792969,6.300000190734861,5.933333396911618,0.03891998939514174,-0.03891998939514174,186.00752493154687,1,5.0,1,1,5620
484707,8501505,2.50983,48.98834,420.200012207031,55.7000007629395,54.79999923706057,0.061160127258303026,0.061160127258303026,199.25970195920743,1,5.0,1,1,5625
484708,8501505,2.510714,48.989359,425.0,59.4000015258789,56.56666692097984,0.20572004241943026,0.20572004241943026,199.26204234391773,1,5.0,1,1,5625
484709,8501505,2.511629,48.990361,426.0,56.2000007629395,57.10000101725264,0.17792004241943005,-0.17792004241943005,199.2633295025556,1,5.0,1,1,5625
484710,8501505,2.51262,48.991289,426.899993896484,57.2000007629395,57.60000101725264,0.05559999999999974,0.05559999999999974,199.2656526166494,1,5.0,1,1,5625
484711,8501505,2.513673,48.992179,428.399993896484,54.4000015258789,55.933334350585966,0.15567995758056946,-0.15567995758056946,199.2722754042791,1,5.0,1,1,5625
484712,8501505,2.514917,48.992842,432.299987792969,51.5999984741211,54.40000025431317,0.15568016967773346,-0.15568016967773346,199.28064097024483,1,5.0,1,1,5625
484713,8501505,2.516048,48.993575,431.600006103516,51.5,52.5,0.005559915161133233,-0.005559915161133233,199.30188913319125,1,5.0,1,1,5625
484714,8501505,2.516859,48.994401,430.799987792969,47.9000015258789,50.33333333333333,0.20015991516113335,-0.20015991516113335,199.31820946934738,1,5.0,1,1,5625
484715,8501505,2.517623,48.995174,434.799987792969,45.5,48.3000005086263,0.13344008483886682,-0.13344008483886682,199.3219669886236,1,5.0,1,1,5625
484716,8501505,2.5184450000000003,48.995925,438.100006103516,46.5,46.633333841959626,0.055600000000000094,0.055600000000000094,199.3258007733464,1,5.0,1,1,5625
484717,8501505,2.519452,48.996541,444.899993896484,43.2999992370605,45.09999974568683,0.17792004241943646,-0.17792004241943646,199.33131520699934,1,5.0,1,1,5625
484718,8501505,2.520584,48.996961,446.100006103516,42.5999984741211,44.13333257039386,0.03892004241943035,-0.03892004241943035,199.34530722820668,1,5.0,1,1,5625
485552,8501505,2.523679,48.997427,433.100006103516,10.3999996185303,14.199999809265153,0.20015996818542647,0.20015996818542647,199.4512582050013,1,5.0,1,1,5634
485553,8501505,2.523217,48.99742,432.299987792969,19.7000007629395,12.300000190734885,0.5170800636291515,0.5170800636291515,199.44726965477082,1,5.0,0,1,5634
485554,8501505,2.523349,48.997074,425.899993896484,22.600000381469695,17.56666692097983,0.161239978790279,0.161239978790279,199.43184819006356,1,5.0,0,1,5634
485555,8501505,2.523463,48.996468,427.100006103516,32.7999992370605,25.033333460489892,0.5671199363708486,0.5671199363708486,199.44262808987287,1,5.0,0,1,5634
485556,8501505,2.523544,48.995804,425.100006103516,31.7000007629395,29.0333334604899,0.06115991516112729,-0.06115991516112729,199.46022637828628,1,5.0,1,1,5634
485557,8501505,2.523614,48.99514,426.799987792969,33.5999984741211,32.699999491373696,0.10563987274169692,0.10563987274169692,199.4785664545625,1,5.0,1,1,5634
485558,8501505,2.52369,48.994482,424.799987792969,31.2999992370605,32.199999491373696,0.12787995758056922,-0.12787995758056922,199.49661759390708,1,5.0,1,1,5634
485559,8501505,2.523655,48.993986,426.899993896484,18.6000003814697,27.83333269755044,0.7061199363708486,-0.7061199363708486,199.515653278467,1,5.0,1,1,5634
485560,8501505,2.523519,48.993719,422.799987792969,12.6999998092651,20.866666475931765,0.328040031814576,-0.328040031814576,199.5279370651477,1,5.0,1,1,5634
485561,8501505,2.523712,48.993365,422.5,23.100000381469695,18.133333524068163,0.5782400318145755,0.5782400318145755,199.5297968394191,1,5.0,1,1,5634
485562,8501505,2.523724,48.993001,422.100006103516,12.5,16.100000063578264,0.589360021209715,-0.589360021209715,199.5439790338773,1,5.0,1,1,5634
485563,8501505,2.52347,48.992869,422.100006103516,7.900000095367429,14.500000158945706,0.25575999469757105,-0.25575999469757105,199.5545433954109,1,5.0,0,1,5634
485584,8501505,2.5228900000000003,48.99266400000001,424.700012207031,8.0,5.50000007947286,0.1779199893951417,0.1779199893951417,199.53276702940983,1,5.0,1,1,5637
485585,8501505,2.522941,48.992462,422.0,11.8999996185303,8.233333269755054,0.2168399787902847,0.2168399787902847,199.5374841295049,1,5.0,1,1,5637
485586,8501505,2.522986,48.992283,423.399993896484,6.599999904632571,8.833333174387622,0.2946799840927138,-0.2946799840927138,199.54400982032098,1,5.0,0,1,5637
485587,8501505,2.523091,48.992269,422.0,4.6999998092651385,7.733333110809334,0.05282000265121463,-0.05282000265121463,199.55069680619988,1,10.0,0,1,5637
485588,8501505,2.523153,48.992291,421.399993896484,5.800000190734861,5.699999968210857,0.030580010604858286,0.030580010604858286,199.55437637321862,1,10.0,0,1,5637
485589,8501505,2.52337,48.992438,423.299987792969,9.89999961853027,6.799999872843423,0.22795996818542474,0.22795996818542474,199.55646706619927,1,5.0,0,1,5637
485590,8501505,2.523435,48.992609,413.700012207031,11.0,8.899999936421711,0.06116002120971701,0.06116002120971701,199.55950728123616,1,5.0,0,1,5637
485591,8501505,2.5234,48.99281,406.200012207031,6.0,8.96666653951009,0.278,-0.278,199.55749184529066,1,5.0,0,1,5637
485592,8501505,2.523,48.992866,407.700012207031,16.8999996185303,11.299999872843433,0.6060399787902847,0.6060399787902847,199.5507009793839,1,5.0,1,1,5637
485593,8501505,2.522416,48.992867,408.399993896484,19.0,13.9666665395101,0.11676002120971525,0.11676002120971525,199.53713660570907,1,5.0,1,1,5637
486032,8501505,2.3881,48.879648,370.5,11.8000001907349,8.933333396911634,0.2335200159072895,0.2335200159072895,198.41882898703648,1,5.0,1,1,5640
486033,8501505,2.387638,48.87965300000001,371.299987792969,15.6999998092651,11.699999968210854,0.2168399787902791,0.2168399787902791,198.40869598397114,1,5.0,1,1,5640
486034,8501505,2.3871860000000003,48.879647,372.399993896484,11.6000003814697,13.0333334604899,0.22795996818542424,-0.22795996818542424,198.3948887312811,1,5.0,1,1,5640
486055,8501505,2.386349,48.87966,488.0,15.6000003814697,6.833333412806183,0.0005938219080776737,0.0005938219080776737,198.43101669115916,1,6086.0,1,1,5642
486056,8501505,2.385746,48.879533,463.299987792969,23.2999992370605,13.83333317438759,0.4281199363708485,0.4281199363708485,198.3544367215617,1,5.0,1,1,5642
486057,8501505,2.38513,48.879467,449.600006103516,17.1000003814697,18.666666666666632,0.3447199363708485,-0.3447199363708485,198.3416317446216,1,5.0,1,1,5642
486058,8501505,2.384521,48.879382,437.299987792969,20.6000003814697,20.3333333333333,0.19460000000000016,0.19460000000000016,198.32500322806985,1,5.0,1,1,5642
486059,8501505,2.3836880000000003,48.879217,416.700012207031,26.100000381469695,21.26666704813636,0.3057999999999996,0.3057999999999996,198.30764504452983,1,5.0,1,1,5642
486060,8501505,2.382862,48.878984,408.700012207031,25.5,24.0666669209798,0.03336002120971511,-0.03336002120971511,198.28612910620868,1,5.0,1,1,5642
486061,8501505,2.382171,48.878675,402.0,23.7999992370605,25.13333320617673,0.09452004241943612,-0.09452004241943612,198.26638167933163,1,5.0,1,1,5642
486062,8501505,2.381813,48.878438,394.399993896484,10.6999998092651,19.99999968210853,0.7283599681854244,-0.7283599681854244,198.25597932775963,1,5.0,1,1,5642
486063,8501505,2.381607,48.878241,386.5,10.1000003814697,14.866666475931765,0.033359968185424194,-0.033359968185424194,198.25264074940597,1,5.0,1,1,5642
486064,8501505,2.381538,48.878111,379.700012207031,4.0,8.266666730244932,0.16958001060485767,-0.16958001060485767,198.2533210800319,1,10.0,1,1,5642
486065,8501505,2.381434,48.877942,377.200012207031,9.30000019073486,7.800000190734853,0.2946800106048582,0.2946800106048582,198.25375755306632,1,5.0,1,1,5642
487049,8501505,2.310348,48.88825300000001,266.100006103516,6.0,9.999999999999988,0.03058000176747637,-0.03058000176747637,195.91412715162681,1,30.0,1,1,5650
487050,8501505,2.310666,48.88825900000001,264.100006103516,11.1999998092651,8.833333333333321,0.2891199893951396,0.2891199893951396,195.92410389442557,1,5.0,1,1,5650
487051,8501505,2.311319,48.888103,255.800003051758,18.8999996185303,12.033333142598465,0.4281199893951452,0.4281199893951452,195.93091723059783,1,5.0,1,1,5650
487052,8501505,2.3119110000000003,48.88804,258.20001220703097,20.6000003814697,16.8999999364217,0.0945200424194308,0.0945200424194308,195.95531368175705,1,5.0,1,1,5650
487053,8501505,2.312523,48.88796,260.70001220703097,22.2999992370605,20.599999745686837,0.09451993637084843,0.09451993637084843,195.97394697142985,1,5.0,1,1,5650
487054,8501505,2.313176,48.887849,268.600006103516,21.7000007629395,21.5333334604899,0.033359915161127775,-0.033359915161127775,195.9934020720041,1,5.0,1,1,5650
487055,8501505,2.313611,48.887677,277.20001220703097,11.6000003814697,18.5333334604899,0.5615600212097209,-0.5615600212097209,196.01441910998366,1,5.0,1,1,5650
