,sampno,speed,acceleration,angle,smooth,Id1,longitude,latitude,difTempsSec,moyenT,altitude,StoopMoove,StopMoove1,DebFin
978,6508065,28.2000007629395,0.0611600212097212,195.3575906138953,26.5333334604899,232,2.283921,48.880612,5.0,1,255.800003051758,1,1,0
979,6508065,12.1000003814697,-0.8951600212097208,195.35992090836208,22.466667175292958,232,2.284319,48.88092,5.0,1,257.600006103516,0,1,1
980,6508065,3.79999995231628,0.07783999204635605,195.35678637808064,2.9666666984558097,233,2.284443,48.881194,5.0,1,389.600006103516,0,0,0
981,6508065,11.8999996185303,-0.033360021209715374,195.0127389364661,11.833333333333332,234,2.258995,48.865774,5.0,1,279.29998779296903,0,1,0
982,6508065,7.099999904632571,-0.2668799840927137,195.0238497231694,10.49999984105429,234,2.259334,48.865779,5.0,1,286.399993896484,0,1,0
983,6508065,3.0999999046325697,0.014826665782928572,195.0282016397,2.6999999682108555,235,2.259228,48.86571,15.0,1,262.899993896484,0,0,0
984,6508065,12.1000003814697,0.1000800053024289,195.03249334109358,5.833333412806183,235,2.259447,48.865726,25.0,1,260.20001220703097,1,1,0
985,6508065,12.3999996185303,0.01667995758056939,195.03852402139728,9.199999968210856,235,2.259835,48.865748,5.0,1,258.0,1,1,0
986,6508065,7.699999809265139,-0.261319989395143,195.0485264107713,10.733333269755043,235,2.260168,48.86573,5.0,1,256.79998779296903,1,1,0
987,6508065,12.3999996185303,0.261319989395143,195.05640261337967,10.83333301544191,235,2.260092,48.865578,5.0,1,252.899993896484,1,1,0
